Station ID,Property/Business Name,Street Address,Hours of Operation,Charger Fee(per Hour),Latitude,Longitude,Location,Latitude.1,Longitude.1
871,Keauhou Shopping Center,78-6831 Alii Drive,00:00-23:59,$0,19.57168,-155.96201,"(19.57168, -155.9620099999)",19.57168,-159.4743178
657,Kona Nissan,76-6353 Kuakini Hwy,07:00-18:00,$0,19.60924,-155.96445,"(19.60924, -155.96445)",22.22286,-155.03988
643,BMW of Kona,74-5533 Loloku Street,00:00-23:59,$0,19.64405,-156.00273,"(19.64405, -156.00273)",,
783,Hawaii Electric Light Kona Office,74-5519 Kaiwi Street,00:00-23:59,$0.50,19.64528,-156.00005,"(19.64528, -156.00005)",,
559,Walmart,75-1015 Henry Street,00:00-23:59,$2,19.645467,-155.990287,"(19.645467, -155.990287)",,
675,Target- Hawaii-Kona,74-5455 Makala Blvd,06:00-23:00,$0,19.6478,-156.00277,"(19.6478, -156.00277)",,
269,Kona Commons Shopping Center,74-5450 Makala Blvd,08:00-22:00,$2,19.6494936,-156.0049149,"(19.6494936, -156.0049149)",,
895,Kaiser Permanente Kona Medical Office,74-517 Honokohau St,08:00-17:00,$2.75,19.67427,-156.01439,"(19.67427, -156.01439)",,
727,Costco Kona,73-5600 Maiau Street,00:00-23:59,$0.50,19.68586,-156.01706,"(19.68586, -156.01706)",,
737,Home Depot- Hilo,380 Makaala St,00:00-23:59,$0,19.69832,-155.05909,"(19.69832, -155.05909)",,
585,Home Depot,380 Makaala St,00:00-23:59,$0,19.69832,-155.05909,"(19.69832, -155.05909)",,
579,Walmart,325 E Makaala St,00:00-23:59,$2,19.69997,-155.06196,"(19.69997, -155.06196)",,
733,Target- Hilo,391 Makaala Street,00:00-23:59,$2,19.70077,-155.05943,"(19.70077, -155.05943)",,
263,University of Hawaii at Hilo,200 W. Kawili Street,00:00-23:59,$0,19.70127,-155.07925,"(19.70127, -155.07925)",,
781,Hawaii Electric Light Hilo Office,1200 Kilauea Ave,00:00-23:59,$2.50,19.71101,-155.07706,"(19.71101, -155.07706)",,
261,Hilo International Airport,2450 Kekuanaoa St,05:00-22:00,$0,19.71471,-155.03988,"(19.71471, -155.03988)",,
