"S_N0				",USER_LATITUDE,USER_LONGITUDE,USER_LOCATION,STATION NAME,OUTPUT_LATITUDE,OUTPUT_LONGITUDE,STATION_LOCATION,Distance
1,19.47322,-158.188133,"(19.47322, -158.188133)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",194.8787272231647 km
2,19.4737,-155.190972,"(19.4737, -155.190972)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",27.785276904292083 km
3,19.47461,-159.506507,"(19.474610000000002, -159.506507)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",251.27625744908588 km
4,19.47486,-158.045578,"(19.47486, -158.045578)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",184.72279122321467 km
5,19.47534,-157.727702,"(19.47534, -157.727702)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",165.00183903441874 km
6,19.47739,-155.687921,"(19.47739, -155.687921)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",30.602772957553512 km
7,19.47812,-156.074524,"(19.47812, -156.074524)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",15.707420610604723 km
8,19.47855,-158.900335,"(19.47855, -158.900335)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",220.61871077355048 km
9,19.4799,-156.813129,"(19.4799, -156.813129)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",85.93965320865082 km
10,19.48138,-157.277371,"(19.481379999999998, -157.277371)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",132.80392561610088 km
11,19.48273,-156.81703,"(19.48273, -156.81703000000002)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",86.2210457850391 km
12,19.48295,-156.670841,"(19.48295, -156.670841)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",71.9101748558677 km
13,19.48697,-155.326461,"(19.48697, -155.32646100000002)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",35.148632466371815 km
14,19.48931,-156.513891,"(19.48931, -156.513891)",Kaiser Permanente Kona Medical Office,19.67427,-156.01439,"(19.67427, -156.01439)",56.26555952592417 km
15,19.49136,-156.318711,"(19.49136, -156.318711)",BMW of Kona,19.64405,-156.00273,"(19.64405, -156.00273)",37.21566659894651 km
